Source,Target,Story
Fourth Doctor,Cyber-Leader (Revenge of the Cybermen),Revenge_of_the_Cybermen_(TV_story)
Fourth Doctor,Cyberman,Revenge_of_the_Cybermen_(TV_story)
Fourth Doctor,Vorus,Revenge_of_the_Cybermen_(TV_story)
Fourth Doctor,Kellman,Revenge_of_the_Cybermen_(TV_story)
Sarah Jane Smith,Harry Sullivan,Revenge_of_the_Cybermen_(TV_story)
Sarah Jane Smith,Cyber-Leader (Revenge of the Cybermen),Revenge_of_the_Cybermen_(TV_story)
Sarah Jane Smith,Cyberman,Revenge_of_the_Cybermen_(TV_story)
Sarah Jane Smith,Vorus,Revenge_of_the_Cybermen_(TV_story)
Sarah Jane Smith,Kellman,Revenge_of_the_Cybermen_(TV_story)
Harry Sullivan,Cyber-Leader (Revenge of the Cybermen),Revenge_of_the_Cybermen_(TV_story)
Harry Sullivan,Cyberman,Revenge_of_the_Cybermen_(TV_story)
Harry Sullivan,Vorus,Revenge_of_the_Cybermen_(TV_story)
Harry Sullivan,Kellman,Revenge_of_the_Cybermen_(TV_story)
Cyber-Leader (Revenge of the Cybermen),Cyberman,Revenge_of_the_Cybermen_(TV_story)
Cyber-Leader (Revenge of the Cybermen),Vorus,Revenge_of_the_Cybermen_(TV_story)
Cyber-Leader (Revenge of the Cybermen),Kellman,Revenge_of_the_Cybermen_(TV_story)
Cyberman,Vorus,Revenge_of_the_Cybermen_(TV_story)
Cyberman,Kellman,Revenge_of_the_Cybermen_(TV_story)
Vorus,Kellman,Revenge_of_the_Cybermen_(TV_story)
Fourth Doctor,Sarah Jane Smith,Terror_of_the_Zygons_(TV_story)
Fourth Doctor,Harry Sullivan,Terror_of_the_Zygons_(TV_story)
Fourth Doctor,Alistair Gordon Lethbridge-Stewart,Terror_of_the_Zygons_(TV_story)
Fourth Doctor,John Benton,Terror_of_the_Zygons_(TV_story)
Fourth Doctor,Broton,Terror_of_the_Zygons_(TV_story)
Sarah Jane Smith,Harry Sullivan,Terror_of_the_Zygons_(TV_story)
Sarah Jane Smith,Alistair Gordon Lethbridge-Stewart,Terror_of_the_Zygons_(TV_story)
Sarah Jane Smith,John Benton,Terror_of_the_Zygons_(TV_story)
Sarah Jane Smith,Broton,Terror_of_the_Zygons_(TV_story)
Harry Sullivan,Alistair Gordon Lethbridge-Stewart,Terror_of_the_Zygons_(TV_story)
Harry Sullivan,John Benton,Terror_of_the_Zygons_(TV_story)
Harry Sullivan,Broton,Terror_of_the_Zygons_(TV_story)
Alistair Gordon Lethbridge-Stewart,John Benton,Terror_of_the_Zygons_(TV_story)
Alistair Gordon Lethbridge-Stewart,Broton,Terror_of_the_Zygons_(TV_story)
John Benton,Broton,Terror_of_the_Zygons_(TV_story)
Fourth Doctor,Sarah Jane Smith,Planet_of_Evil_(TV_story)
Fourth Doctor,Anti-matter creature,Planet_of_Evil_(TV_story)
Fourth Doctor,Salamar,Planet_of_Evil_(TV_story)
Sarah Jane Smith,Anti-matter creature,Planet_of_Evil_(TV_story)
Sarah Jane Smith,Salamar,Planet_of_Evil_(TV_story)
Anti-matter creature,Salamar,Planet_of_Evil_(TV_story)
Fourth Doctor,Sarah Jane Smith,Pyramids_of_Mars_(TV_story)
Fourth Doctor,Sutekh,Pyramids_of_Mars_(TV_story)
Sarah Jane Smith,Sutekh,Pyramids_of_Mars_(TV_story)
Fourth Doctor,Sarah Jane Smith,The_Android_Invasion_(TV_story)
Fourth Doctor,Harry Sullivan,The_Android_Invasion_(TV_story)
Fourth Doctor,John Benton,The_Android_Invasion_(TV_story)
Fourth Doctor,Kraal (species),The_Android_Invasion_(TV_story)
Sarah Jane Smith,Harry Sullivan,The_Android_Invasion_(TV_story)
Sarah Jane Smith,John Benton,The_Android_Invasion_(TV_story)
Sarah Jane Smith,Kraal (species),The_Android_Invasion_(TV_story)
Harry Sullivan,John Benton,The_Android_Invasion_(TV_story)
Harry Sullivan,Kraal (species),The_Android_Invasion_(TV_story)
John Benton,Kraal (species),The_Android_Invasion_(TV_story)
Fourth Doctor,Sarah Jane Smith,The_Brain_of_Morbius_(TV_story)
Fourth Doctor,Morbius,The_Brain_of_Morbius_(TV_story)
Fourth Doctor,Mehendri Solon,The_Brain_of_Morbius_(TV_story)
Sarah Jane Smith,Morbius,The_Brain_of_Morbius_(TV_story)
Sarah Jane Smith,Mehendri Solon,The_Brain_of_Morbius_(TV_story)
Morbius,Mehendri Solon,The_Brain_of_Morbius_(TV_story)
Fourth Doctor,Sarah Jane Smith,The_Seeds_of_Doom_(TV_story)
Fourth Doctor,Krynoid,The_Seeds_of_Doom_(TV_story)
Fourth Doctor,Harrison Chase,The_Seeds_of_Doom_(TV_story)
Sarah Jane Smith,Krynoid,The_Seeds_of_Doom_(TV_story)
Sarah Jane Smith,Harrison Chase,The_Seeds_of_Doom_(TV_story)
Krynoid,Harrison Chase,The_Seeds_of_Doom_(TV_story)
Fourth Doctor,Sarah Jane Smith,The_Masque_of_Mandragora_(TV_story)
Fourth Doctor,Mandragora Helix,The_Masque_of_Mandragora_(TV_story)
Fourth Doctor,Hieronymous (The Masque of Mandragora),The_Masque_of_Mandragora_(TV_story)
Fourth Doctor,Federico,The_Masque_of_Mandragora_(TV_story)
Sarah Jane Smith,Mandragora Helix,The_Masque_of_Mandragora_(TV_story)
Sarah Jane Smith,Hieronymous (The Masque of Mandragora),The_Masque_of_Mandragora_(TV_story)
Sarah Jane Smith,Federico,The_Masque_of_Mandragora_(TV_story)
Mandragora Helix,Hieronymous (The Masque of Mandragora),The_Masque_of_Mandragora_(TV_story)
Mandragora Helix,Federico,The_Masque_of_Mandragora_(TV_story)
Hieronymous (The Masque of Mandragora),Federico,The_Masque_of_Mandragora_(TV_story)
Fourth Doctor,Sarah Jane Smith,The_Hand_of_Fear_(TV_story)
Fourth Doctor,Eldrad,The_Hand_of_Fear_(TV_story)
Sarah Jane Smith,Eldrad,The_Hand_of_Fear_(TV_story)
Fourth Doctor,Spandrell,The_Deadly_Assassin_(TV_story)
Fourth Doctor,Engin,The_Deadly_Assassin_(TV_story)
Fourth Doctor,The Master,The_Deadly_Assassin_(TV_story)
Fourth Doctor,Goth,The_Deadly_Assassin_(TV_story)
Spandrell,Engin,The_Deadly_Assassin_(TV_story)
Spandrell,The Master,The_Deadly_Assassin_(TV_story)
Spandrell,Goth,The_Deadly_Assassin_(TV_story)
Engin,The Master,The_Deadly_Assassin_(TV_story)
Engin,Goth,The_Deadly_Assassin_(TV_story)
The Master,Goth,The_Deadly_Assassin_(TV_story)
Fourth Doctor,Leela,The_Face_of_Evil_(TV_story)
Fourth Doctor,Xoanon,The_Face_of_Evil_(TV_story)
Leela,Xoanon,The_Face_of_Evil_(TV_story)
Fourth Doctor,Leela,The_Robots_of_Death_(TV_story)
Fourth Doctor,Lish Toos,The_Robots_of_Death_(TV_story)
Fourth Doctor,Ander Poul,The_Robots_of_Death_(TV_story)
Fourth Doctor,Kiy Uvanov,The_Robots_of_Death_(TV_story)
Fourth Doctor,Taren Capel,The_Robots_of_Death_(TV_story)
Fourth Doctor,Kaldor android,The_Robots_of_Death_(TV_story)
Leela,Lish Toos,The_Robots_of_Death_(TV_story)
Leela,Ander Poul,The_Robots_of_Death_(TV_story)
Leela,Kiy Uvanov,The_Robots_of_Death_(TV_story)
Leela,Taren Capel,The_Robots_of_Death_(TV_story)
Leela,Kaldor android,The_Robots_of_Death_(TV_story)
Lish Toos,Ander Poul,The_Robots_of_Death_(TV_story)
Lish Toos,Kiy Uvanov,The_Robots_of_Death_(TV_story)
Lish Toos,Taren Capel,The_Robots_of_Death_(TV_story)
Lish Toos,Kaldor android,The_Robots_of_Death_(TV_story)
Ander Poul,Kiy Uvanov,The_Robots_of_Death_(TV_story)
Ander Poul,Taren Capel,The_Robots_of_Death_(TV_story)
Ander Poul,Kaldor android,The_Robots_of_Death_(TV_story)
Kiy Uvanov,Taren Capel,The_Robots_of_Death_(TV_story)
Kiy Uvanov,Kaldor android,The_Robots_of_Death_(TV_story)
Taren Capel,Kaldor android,The_Robots_of_Death_(TV_story)
Fourth Doctor,Leela,The_Talons_of_Weng-Chiang_(TV_story)
Fourth Doctor,Henry Gordon Jago,The_Talons_of_Weng-Chiang_(TV_story)
Fourth Doctor,George Litefoot,The_Talons_of_Weng-Chiang_(TV_story)
Fourth Doctor,Magnus Greel,The_Talons_of_Weng-Chiang_(TV_story)
Fourth Doctor,Li H'sen Chang,The_Talons_of_Weng-Chiang_(TV_story)
Fourth Doctor,Mr Sin,The_Talons_of_Weng-Chiang_(TV_story)
Leela,Henry Gordon Jago,The_Talons_of_Weng-Chiang_(TV_story)
Leela,George Litefoot,The_Talons_of_Weng-Chiang_(TV_story)
Leela,Magnus Greel,The_Talons_of_Weng-Chiang_(TV_story)
Leela,Li H'sen Chang,The_Talons_of_Weng-Chiang_(TV_story)
Leela,Mr Sin,The_Talons_of_Weng-Chiang_(TV_story)
Henry Gordon Jago,George Litefoot,The_Talons_of_Weng-Chiang_(TV_story)
Henry Gordon Jago,Magnus Greel,The_Talons_of_Weng-Chiang_(TV_story)
Henry Gordon Jago,Li H'sen Chang,The_Talons_of_Weng-Chiang_(TV_story)
Henry Gordon Jago,Mr Sin,The_Talons_of_Weng-Chiang_(TV_story)
George Litefoot,Magnus Greel,The_Talons_of_Weng-Chiang_(TV_story)
George Litefoot,Li H'sen Chang,The_Talons_of_Weng-Chiang_(TV_story)
George Litefoot,Mr Sin,The_Talons_of_Weng-Chiang_(TV_story)
Magnus Greel,Li H'sen Chang,The_Talons_of_Weng-Chiang_(TV_story)
Magnus Greel,Mr Sin,The_Talons_of_Weng-Chiang_(TV_story)
Li H'sen Chang,Mr Sin,The_Talons_of_Weng-Chiang_(TV_story)
Fourth Doctor,Leela,Horror_of_Fang_Rock_(TV_story)
Fourth Doctor,Rutan Host,Horror_of_Fang_Rock_(TV_story)
Leela,Rutan Host,Horror_of_Fang_Rock_(TV_story)
Fourth Doctor,Leela,The_Invisible_Enemy_(TV_story)
Fourth Doctor,K9 Mark I,The_Invisible_Enemy_(TV_story)
Fourth Doctor,The Swarm (The Invisible Enemy),The_Invisible_Enemy_(TV_story)
Fourth Doctor,The Nucleus,The_Invisible_Enemy_(TV_story)
Leela,K9 Mark I,The_Invisible_Enemy_(TV_story)
Leela,The Swarm (The Invisible Enemy),The_Invisible_Enemy_(TV_story)
Leela,The Nucleus,The_Invisible_Enemy_(TV_story)
K9 Mark I,The Swarm (The Invisible Enemy),The_Invisible_Enemy_(TV_story)
K9 Mark I,The Nucleus,The_Invisible_Enemy_(TV_story)
The Swarm (The Invisible Enemy),The Nucleus,The_Invisible_Enemy_(TV_story)
Fourth Doctor,Leela,Image_of_the_Fendahl_(TV_story)
Fourth Doctor,K9 Mark I,Image_of_the_Fendahl_(TV_story)
Fourth Doctor,Fendahl,Image_of_the_Fendahl_(TV_story)
Fourth Doctor,Maximillian Stael,Image_of_the_Fendahl_(TV_story)
Leela,K9 Mark I,Image_of_the_Fendahl_(TV_story)
Leela,Fendahl,Image_of_the_Fendahl_(TV_story)
Leela,Maximillian Stael,Image_of_the_Fendahl_(TV_story)
K9 Mark I,Fendahl,Image_of_the_Fendahl_(TV_story)
K9 Mark I,Maximillian Stael,Image_of_the_Fendahl_(TV_story)
Fendahl,Maximillian Stael,Image_of_the_Fendahl_(TV_story)
Fourth Doctor,Leela,The_Sun_Makers_(TV_story)
Fourth Doctor,K9 Mark I,The_Sun_Makers_(TV_story)
Fourth Doctor,The Collector,The_Sun_Makers_(TV_story)
Fourth Doctor,Hade,The_Sun_Makers_(TV_story)
Leela,K9 Mark I,The_Sun_Makers_(TV_story)
Leela,The Collector,The_Sun_Makers_(TV_story)
Leela,Hade,The_Sun_Makers_(TV_story)
K9 Mark I,The Collector,The_Sun_Makers_(TV_story)
K9 Mark I,Hade,The_Sun_Makers_(TV_story)
The Collector,Hade,The_Sun_Makers_(TV_story)
Fourth Doctor,Leela,Underworld_(TV_story)
Fourth Doctor,K9 Mark I,Underworld_(TV_story)
Fourth Doctor,Oracle (Underworld),Underworld_(TV_story)
Fourth Doctor,Seer,Underworld_(TV_story)
Leela,K9 Mark I,Underworld_(TV_story)
Leela,Oracle (Underworld),Underworld_(TV_story)
Leela,Seer,Underworld_(TV_story)
K9 Mark I,Oracle (Underworld),Underworld_(TV_story)
K9 Mark I,Seer,Underworld_(TV_story)
Oracle (Underworld),Seer,Underworld_(TV_story)
Fourth Doctor,Leela,The_Invasion_of_Time_(TV_story)
Fourth Doctor,K9 Mark I,The_Invasion_of_Time_(TV_story)
Fourth Doctor,Commander,The_Invasion_of_Time_(TV_story)
Fourth Doctor,Stor,The_Invasion_of_Time_(TV_story)
Fourth Doctor,Vardan,The_Invasion_of_Time_(TV_story)
Leela,K9 Mark I,The_Invasion_of_Time_(TV_story)
Leela,Commander,The_Invasion_of_Time_(TV_story)
Leela,Stor,The_Invasion_of_Time_(TV_story)
Leela,Vardan,The_Invasion_of_Time_(TV_story)
K9 Mark I,Commander,The_Invasion_of_Time_(TV_story)
K9 Mark I,Stor,The_Invasion_of_Time_(TV_story)
K9 Mark I,Vardan,The_Invasion_of_Time_(TV_story)
Commander,Stor,The_Invasion_of_Time_(TV_story)
Commander,Vardan,The_Invasion_of_Time_(TV_story)
Stor,Vardan,The_Invasion_of_Time_(TV_story)
Fourth Doctor,K9 Mark II,The_Ribos_Operation_(TV_story)
Fourth Doctor,Romana I,The_Ribos_Operation_(TV_story)
Fourth Doctor,White Guardian,The_Ribos_Operation_(TV_story)
Fourth Doctor,Graff Vynda-K,The_Ribos_Operation_(TV_story)
K9 Mark II,Romana I,The_Ribos_Operation_(TV_story)
K9 Mark II,White Guardian,The_Ribos_Operation_(TV_story)
K9 Mark II,Graff Vynda-K,The_Ribos_Operation_(TV_story)
Romana I,White Guardian,The_Ribos_Operation_(TV_story)
Romana I,Graff Vynda-K,The_Ribos_Operation_(TV_story)
White Guardian,Graff Vynda-K,The_Ribos_Operation_(TV_story)
Fourth Doctor,K9 Mark II,The_Pirate_Planet_(TV_story)
Fourth Doctor,Romana I,The_Pirate_Planet_(TV_story)
Fourth Doctor,The Captain,The_Pirate_Planet_(TV_story)
Fourth Doctor,Xanxia,The_Pirate_Planet_(TV_story)
K9 Mark II,Romana I,The_Pirate_Planet_(TV_story)
K9 Mark II,The Captain,The_Pirate_Planet_(TV_story)
K9 Mark II,Xanxia,The_Pirate_Planet_(TV_story)
Romana I,The Captain,The_Pirate_Planet_(TV_story)
Romana I,Xanxia,The_Pirate_Planet_(TV_story)
The Captain,Xanxia,The_Pirate_Planet_(TV_story)
Fourth Doctor,K9 Mark II,The_Stones_of_Blood_(TV_story)
Fourth Doctor,Romana I,The_Stones_of_Blood_(TV_story)
Fourth Doctor,White Guardian,The_Stones_of_Blood_(TV_story)
Fourth Doctor,Cessair of Diplos,The_Stones_of_Blood_(TV_story)
Fourth Doctor,Ogri,The_Stones_of_Blood_(TV_story)
K9 Mark II,Romana I,The_Stones_of_Blood_(TV_story)
K9 Mark II,White Guardian,The_Stones_of_Blood_(TV_story)
K9 Mark II,Cessair of Diplos,The_Stones_of_Blood_(TV_story)
K9 Mark II,Ogri,The_Stones_of_Blood_(TV_story)
Romana I,White Guardian,The_Stones_of_Blood_(TV_story)
Romana I,Cessair of Diplos,The_Stones_of_Blood_(TV_story)
Romana I,Ogri,The_Stones_of_Blood_(TV_story)
White Guardian,Cessair of Diplos,The_Stones_of_Blood_(TV_story)
White Guardian,Ogri,The_Stones_of_Blood_(TV_story)
Cessair of Diplos,Ogri,The_Stones_of_Blood_(TV_story)
Fourth Doctor,K9 Mark II,The_Androids_of_Tara_(TV_story)
Fourth Doctor,Romana I,The_Androids_of_Tara_(TV_story)
Fourth Doctor,Grendel of Gracht,The_Androids_of_Tara_(TV_story)
K9 Mark II,Romana I,The_Androids_of_Tara_(TV_story)
K9 Mark II,Grendel of Gracht,The_Androids_of_Tara_(TV_story)
Romana I,Grendel of Gracht,The_Androids_of_Tara_(TV_story)
Fourth Doctor,Romana I,The_Power_of_Kroll_(TV_story)
Fourth Doctor,Kroll,The_Power_of_Kroll_(TV_story)
Fourth Doctor,Thawn,The_Power_of_Kroll_(TV_story)
Fourth Doctor,Ranquin,The_Power_of_Kroll_(TV_story)
Romana I,Kroll,The_Power_of_Kroll_(TV_story)
Romana I,Thawn,The_Power_of_Kroll_(TV_story)
Romana I,Ranquin,The_Power_of_Kroll_(TV_story)
Kroll,Thawn,The_Power_of_Kroll_(TV_story)
Kroll,Ranquin,The_Power_of_Kroll_(TV_story)
Thawn,Ranquin,The_Power_of_Kroll_(TV_story)
Fourth Doctor,K9 Mark II,The_Armageddon_Factor_(TV_story)
Fourth Doctor,Romana I,The_Armageddon_Factor_(TV_story)
Fourth Doctor,Drax,The_Armageddon_Factor_(TV_story)
Fourth Doctor,Astra of Atrios,The_Armageddon_Factor_(TV_story)
Fourth Doctor,The Shadow,The_Armageddon_Factor_(TV_story)
Fourth Doctor,Black Guardian,The_Armageddon_Factor_(TV_story)
Fourth Doctor,Marshal of Atrios,The_Armageddon_Factor_(TV_story)
K9 Mark II,Romana I,The_Armageddon_Factor_(TV_story)
K9 Mark II,Drax,The_Armageddon_Factor_(TV_story)
K9 Mark II,Astra of Atrios,The_Armageddon_Factor_(TV_story)
K9 Mark II,The Shadow,The_Armageddon_Factor_(TV_story)
K9 Mark II,Black Guardian,The_Armageddon_Factor_(TV_story)
K9 Mark II,Marshal of Atrios,The_Armageddon_Factor_(TV_story)
Romana I,Drax,The_Armageddon_Factor_(TV_story)
Romana I,Astra of Atrios,The_Armageddon_Factor_(TV_story)
Romana I,The Shadow,The_Armageddon_Factor_(TV_story)
Romana I,Black Guardian,The_Armageddon_Factor_(TV_story)
Romana I,Marshal of Atrios,The_Armageddon_Factor_(TV_story)
Drax,Astra of Atrios,The_Armageddon_Factor_(TV_story)
Drax,The Shadow,The_Armageddon_Factor_(TV_story)
Drax,Black Guardian,The_Armageddon_Factor_(TV_story)
Drax,Marshal of Atrios,The_Armageddon_Factor_(TV_story)
Astra of Atrios,The Shadow,The_Armageddon_Factor_(TV_story)
Astra of Atrios,Black Guardian,The_Armageddon_Factor_(TV_story)
Astra of Atrios,Marshal of Atrios,The_Armageddon_Factor_(TV_story)
The Shadow,Black Guardian,The_Armageddon_Factor_(TV_story)
The Shadow,Marshal of Atrios,The_Armageddon_Factor_(TV_story)
Black Guardian,Marshal of Atrios,The_Armageddon_Factor_(TV_story)
Fourth Doctor,Romana II,Destiny_of_the_Daleks_(TV_story)
Fourth Doctor,K9 Mark II,Destiny_of_the_Daleks_(TV_story)
Fourth Doctor,Davros,Destiny_of_the_Daleks_(TV_story)
Fourth Doctor,Dalek,Destiny_of_the_Daleks_(TV_story)
Fourth Doctor,Movellan,Destiny_of_the_Daleks_(TV_story)
Romana II,K9 Mark II,Destiny_of_the_Daleks_(TV_story)
Romana II,Davros,Destiny_of_the_Daleks_(TV_story)
Romana II,Dalek,Destiny_of_the_Daleks_(TV_story)
Romana II,Movellan,Destiny_of_the_Daleks_(TV_story)
K9 Mark II,Davros,Destiny_of_the_Daleks_(TV_story)
K9 Mark II,Dalek,Destiny_of_the_Daleks_(TV_story)
K9 Mark II,Movellan,Destiny_of_the_Daleks_(TV_story)
Davros,Dalek,Destiny_of_the_Daleks_(TV_story)
Davros,Movellan,Destiny_of_the_Daleks_(TV_story)
Dalek,Movellan,Destiny_of_the_Daleks_(TV_story)
Fourth Doctor,Romana II,City_of_Death_(TV_story)
Fourth Doctor,Duggan,City_of_Death_(TV_story)
Fourth Doctor,Scaroth,City_of_Death_(TV_story)
Romana II,Duggan,City_of_Death_(TV_story)
Romana II,Scaroth,City_of_Death_(TV_story)
Duggan,Scaroth,City_of_Death_(TV_story)
Fourth Doctor,K9 Mark II,The_Creature_from_the_Pit_(TV_story)
Fourth Doctor,Romana II,The_Creature_from_the_Pit_(TV_story)
Fourth Doctor,Adrasta,The_Creature_from_the_Pit_(TV_story)
K9 Mark II,Romana II,The_Creature_from_the_Pit_(TV_story)
K9 Mark II,Adrasta,The_Creature_from_the_Pit_(TV_story)
Romana II,Adrasta,The_Creature_from_the_Pit_(TV_story)
Fourth Doctor,K9 Mark II,Nightmare_of_Eden_(TV_story)
Fourth Doctor,Romana II,Nightmare_of_Eden_(TV_story)
Fourth Doctor,Tryst,Nightmare_of_Eden_(TV_story)
Fourth Doctor,Dymond,Nightmare_of_Eden_(TV_story)
Fourth Doctor,Mandrel,Nightmare_of_Eden_(TV_story)
K9 Mark II,Romana II,Nightmare_of_Eden_(TV_story)
K9 Mark II,Tryst,Nightmare_of_Eden_(TV_story)
K9 Mark II,Dymond,Nightmare_of_Eden_(TV_story)
K9 Mark II,Mandrel,Nightmare_of_Eden_(TV_story)
Romana II,Tryst,Nightmare_of_Eden_(TV_story)
Romana II,Dymond,Nightmare_of_Eden_(TV_story)
Romana II,Mandrel,Nightmare_of_Eden_(TV_story)
Tryst,Dymond,Nightmare_of_Eden_(TV_story)
Tryst,Mandrel,Nightmare_of_Eden_(TV_story)
Dymond,Mandrel,Nightmare_of_Eden_(TV_story)
Fourth Doctor,K9 Mark II,The_Horns_of_Nimon_(TV_story)
Fourth Doctor,Romana II,The_Horns_of_Nimon_(TV_story)
Fourth Doctor,Nimon,The_Horns_of_Nimon_(TV_story)
Fourth Doctor,Soldeed,The_Horns_of_Nimon_(TV_story)
K9 Mark II,Romana II,The_Horns_of_Nimon_(TV_story)
K9 Mark II,Nimon,The_Horns_of_Nimon_(TV_story)
K9 Mark II,Soldeed,The_Horns_of_Nimon_(TV_story)
Romana II,Nimon,The_Horns_of_Nimon_(TV_story)
Romana II,Soldeed,The_Horns_of_Nimon_(TV_story)
Nimon,Soldeed,The_Horns_of_Nimon_(TV_story)
Fourth Doctor,Romana II,The_Leisure_Hive_(TV_story)
Fourth Doctor,K9 Mark II,The_Leisure_Hive_(TV_story)
Fourth Doctor,Pangol,The_Leisure_Hive_(TV_story)
Fourth Doctor,West Lodge,The_Leisure_Hive_(TV_story)
Romana II,K9 Mark II,The_Leisure_Hive_(TV_story)
Romana II,Pangol,The_Leisure_Hive_(TV_story)
Romana II,West Lodge,The_Leisure_Hive_(TV_story)
K9 Mark II,Pangol,The_Leisure_Hive_(TV_story)
K9 Mark II,West Lodge,The_Leisure_Hive_(TV_story)
Pangol,West Lodge,The_Leisure_Hive_(TV_story)
Fourth Doctor,K9 Mark II,Meglos_(TV_story)
Fourth Doctor,Romana II,Meglos_(TV_story)
Fourth Doctor,Meglos,Meglos_(TV_story)
Fourth Doctor,Gaztak,Meglos_(TV_story)
Fourth Doctor,Grugger,Meglos_(TV_story)
K9 Mark II,Romana II,Meglos_(TV_story)
K9 Mark II,Meglos,Meglos_(TV_story)
K9 Mark II,Gaztak,Meglos_(TV_story)
K9 Mark II,Grugger,Meglos_(TV_story)
Romana II,Meglos,Meglos_(TV_story)
Romana II,Gaztak,Meglos_(TV_story)
Romana II,Grugger,Meglos_(TV_story)
Meglos,Gaztak,Meglos_(TV_story)
Meglos,Grugger,Meglos_(TV_story)
Gaztak,Grugger,Meglos_(TV_story)
Fourth Doctor,K9 Mark II,Full_Circle_(TV_story)
Fourth Doctor,Romana II,Full_Circle_(TV_story)
Fourth Doctor,Adric,Full_Circle_(TV_story)
Fourth Doctor,Marshman,Full_Circle_(TV_story)
K9 Mark II,Romana II,Full_Circle_(TV_story)
K9 Mark II,Adric,Full_Circle_(TV_story)
K9 Mark II,Marshman,Full_Circle_(TV_story)
Romana II,Adric,Full_Circle_(TV_story)
Romana II,Marshman,Full_Circle_(TV_story)
Adric,Marshman,Full_Circle_(TV_story)
Fourth Doctor,K9 Mark II,State_of_Decay_(TV_story)
Fourth Doctor,Romana II,State_of_Decay_(TV_story)
Fourth Doctor,Adric,State_of_Decay_(TV_story)
Fourth Doctor,King Vampire,State_of_Decay_(TV_story)
Fourth Doctor,Three Who Rule,State_of_Decay_(TV_story)
K9 Mark II,Romana II,State_of_Decay_(TV_story)
K9 Mark II,Adric,State_of_Decay_(TV_story)
K9 Mark II,King Vampire,State_of_Decay_(TV_story)
K9 Mark II,Three Who Rule,State_of_Decay_(TV_story)
Romana II,Adric,State_of_Decay_(TV_story)
Romana II,King Vampire,State_of_Decay_(TV_story)
Romana II,Three Who Rule,State_of_Decay_(TV_story)
Adric,King Vampire,State_of_Decay_(TV_story)
Adric,Three Who Rule,State_of_Decay_(TV_story)
King Vampire,Three Who Rule,State_of_Decay_(TV_story)
Fourth Doctor,K9 Mark II,Warriors%27_Gate_(TV_story)
Fourth Doctor,Romana II,Warriors%27_Gate_(TV_story)
Fourth Doctor,Adric,Warriors%27_Gate_(TV_story)
Fourth Doctor,Rorvik,Warriors%27_Gate_(TV_story)
K9 Mark II,Romana II,Warriors%27_Gate_(TV_story)
K9 Mark II,Adric,Warriors%27_Gate_(TV_story)
K9 Mark II,Rorvik,Warriors%27_Gate_(TV_story)
Romana II,Adric,Warriors%27_Gate_(TV_story)
Romana II,Rorvik,Warriors%27_Gate_(TV_story)
Adric,Rorvik,Warriors%27_Gate_(TV_story)
Fourth Doctor,Adric,The_Keeper_of_Traken_(TV_story)
Fourth Doctor,Nyssa,The_Keeper_of_Traken_(TV_story)
Fourth Doctor,The Master,The_Keeper_of_Traken_(TV_story)
Adric,Nyssa,The_Keeper_of_Traken_(TV_story)
Adric,The Master,The_Keeper_of_Traken_(TV_story)
Nyssa,The Master,The_Keeper_of_Traken_(TV_story)
Fourth Doctor,Adric,Logopolis_(TV_story)
Fourth Doctor,Tegan Jovanka,Logopolis_(TV_story)
Fourth Doctor,Nyssa,Logopolis_(TV_story)
Fourth Doctor,Fifth Doctor,Logopolis_(TV_story)
Fourth Doctor,The Watcher (Logopolis),Logopolis_(TV_story)
Fourth Doctor,The Master,Logopolis_(TV_story)
Adric,Tegan Jovanka,Logopolis_(TV_story)
Adric,Nyssa,Logopolis_(TV_story)
Adric,Fifth Doctor,Logopolis_(TV_story)
Adric,The Watcher (Logopolis),Logopolis_(TV_story)
Adric,The Master,Logopolis_(TV_story)
Tegan Jovanka,Nyssa,Logopolis_(TV_story)
Tegan Jovanka,Fifth Doctor,Logopolis_(TV_story)
Tegan Jovanka,The Watcher (Logopolis),Logopolis_(TV_story)
Tegan Jovanka,The Master,Logopolis_(TV_story)
Nyssa,Fifth Doctor,Logopolis_(TV_story)
Nyssa,The Watcher (Logopolis),Logopolis_(TV_story)
Nyssa,The Master,Logopolis_(TV_story)
Fifth Doctor,The Watcher (Logopolis),Logopolis_(TV_story)
Fifth Doctor,The Master,Logopolis_(TV_story)
The Watcher (Logopolis),The Master,Logopolis_(TV_story)
Fifth Doctor,Adric,Castrovalva_(TV_story)
Fifth Doctor,Tegan Jovanka,Castrovalva_(TV_story)
Fifth Doctor,Nyssa,Castrovalva_(TV_story)
Fifth Doctor,The Master,Castrovalva_(TV_story)
Adric,Tegan Jovanka,Castrovalva_(TV_story)
Adric,Nyssa,Castrovalva_(TV_story)
Adric,The Master,Castrovalva_(TV_story)
Tegan Jovanka,Nyssa,Castrovalva_(TV_story)
Tegan Jovanka,The Master,Castrovalva_(TV_story)
Nyssa,The Master,Castrovalva_(TV_story)
Fifth Doctor,Adric,Four_to_Doomsday_(TV_story)
Fifth Doctor,Tegan Jovanka,Four_to_Doomsday_(TV_story)
Fifth Doctor,Nyssa,Four_to_Doomsday_(TV_story)
Fifth Doctor,Urbankan,Four_to_Doomsday_(TV_story)
Adric,Tegan Jovanka,Four_to_Doomsday_(TV_story)
Adric,Nyssa,Four_to_Doomsday_(TV_story)
Adric,Urbankan,Four_to_Doomsday_(TV_story)
Tegan Jovanka,Nyssa,Four_to_Doomsday_(TV_story)
